signal_date,entry,exit,n_sel,n_fill,lo_ret,idx_ret,capital_ret,net_yuan,equity
2014-11-18,2014-11-19,2014-12-17,453,441,0.12674930406613116,0.31029102957572796,-0.15127895402005975,-142998.1632350058,802263.2854662066
2014-12-16,2014-12-17,2015-01-16,453,431,-0.026129489874109124,0.08732583242628889,-0.0950362178157188,-76244.06834312063,726019.217123086
2015-01-15,2015-01-16,2015-02-13,452,435,0.04838675276675786,-0.04353128240580717,0.07450926558704754,54095.15866992436,780114.3757930103
2015-02-12,2015-02-13,2015-03-20,455,429,0.19315314944646245,0.11381305239054829,0.0707829806266264,55218.82074830949,835333.1965413198
2015-03-19,2015-03-20,2015-04-20,450,414,0.15295184470754997,0.19793432299629599,-0.02690678755689263,-22476.132858557394,812857.0636827624
2015-04-17,2015-04-20,2015-05-19,445,415,0.08587669568726053,-0.008101789154133177,0.07725708537296015,62798.96756495291,875656.0312477153
2015-05-18,2015-05-19,2015-06-16,445,399,0.26034063445093625,0.12831502695712205,0.12141911217969359,106321.3778888915,981977.4091366068
2015-06-15,2015-06-16,2015-07-15,435,324,-0.2369342945921189,-0.2122237668005158,-0.06875997325500985,-67520.74038925697,914456.6687473499
2015-07-14,2015-07-15,2015-08-12,370,275,0.00405798486180986,-0.010619629971884148,0.00843655889303153,7714.867541012471,922171.5362883623
2015-08-11,2015-08-12,2015-09-11,435,401,-0.21439870092037128,-0.16787019303619022,-0.05283746232999989,-48725.20381043444,873446.3324779279
2015-09-10,2015-09-11,2015-10-16,451,420,0.07590842309036572,0.0473569202478894,0.024878331477279463,21729.88738699979,895176.2198649277
2015-10-15,2015-10-16,2015-11-13,460,433,0.09732990996407342,0.07059386863976824,0.024067088004193438,21544.284862750326,916720.504727678
2015-11-12,2015-11-13,2015-12-11,478,456,-0.02236058827538956,-0.04015494382620732,0.011344367939769857,10399.614703562227,927120.1194312403
2015-12-10,2015-12-11,2016-01-11,491,464,-0.07908868737440145,-0.08383328202098539,-0.00207472685600657,-1923.5210105280858,925196.5984207122
2016-01-08,2016-01-11,2016-02-15,495,479,-0.14650332293905688,-0.12554493933008792,-0.023505601592485326,-21747.30263719987,903449.2957835123
2016-02-05,2016-02-15,2016-03-14,496,481,0.03490894999438643,0.05232600409218868,-0.015705903712517007,-14189.487648717128,889259.8081347952
2016-03-11,2016-03-14,2016-04-12,498,481,0.11479722540411896,0.06178505512292842,0.04461564445904388,39674.89943145972,928934.7075662549
2016-04-11,2016-04-12,2016-05-11,490,475,-0.07436926050743897,-0.04546426347149535,-0.027997869760374126,-26008.1929583312,902926.5146079237
2016-05-10,2016-05-11,2016-06-08,493,479,-0.0008362450240583241,0.02959449984418816,-0.02740253711726208,-24742.477330703638,878184.03727722
2016-06-07,2016-06-08,2016-07-08,498,489,0.012134382828970391,0.008808850467083573,0.0006873463148137238,603.616561750765,878787.6538389708
2016-07-07,2016-07-08,2016-08-05,504,495,0.0022025759705015524,0.0005000390655520714,-0.0008204250183531489,-720.9793770293472,878066.6744619415
2016-08-04,2016-08-05,2016-09-02,513,503,0.03214290103122597,0.030415293548034406,-0.0002989578637623315,-262.50493723805994,877804.1695247034
2016-09-01,2016-09-02,2016-10-11,518,504,0.019957266453067835,-0.0005608235921812366,0.015173563872288862,13319.417633644654,891123.5871583481
2016-10-10,2016-10-11,2016-11-08,519,511,0.02561735514897112,0.021484013625044263,0.0015139961069062687,1349.1576417300384,892472.7448000781
2016-11-07,2016-11-08,2016-12-06,527,514,0.010343096592414946,0.029260326038542672,-0.017725515878866956,-15819.539809409762,876653.2049906683
2016-12-05,2016-12-06,2017-01-04,530,518,-0.0265786405011621,-0.03625830871491875,0.0052658284695155065,4616.305404731887,881269.5103954002
2017-01-03,2017-01-04,2017-02-08,535,529,-0.014745744990040444,0.006352228368896373,-0.020163281553343827,-17769.285262479912,863500.2251329203
2017-02-07,2017-02-08,2017-03-08,540,536,0.037589771358975455,0.026896465562886274,0.006959279567517119,6009.339473313885,869509.5646062342
2017-03-07,2017-03-08,2017-04-07,544,535,0.0035829331283505628,0.018031979607207038,-0.014306327732851242,-12439.488798105624,857070.0758081286
2017-04-06,2017-04-07,2017-05-08,553,536,-0.08096679401615803,-0.04135497730797133,-0.03699598235559286,-31708.1494021042,825361.9264060244
2017-05-05,2017-05-08,2017-06-07,558,537,-0.0496499460942027,0.03703351923801845,-0.07472562760492812,-61675.68795190274,763686.2384541216
2017-06-06,2017-06-07,2017-07-05,561,547,0.0207968028198251,0.033779065108132,-0.012577125120202669,-9604.977373614442,754081.2610805072
2017-07-04,2017-07-05,2017-08-02,573,563,0.0070901490999339956,0.04327085467482483,-0.03238782074837758,-24423.048713585944,729658.2123669212
2017-08-01,2017-08-02,2017-08-30,582,577,0.008317871075848915,0.01753627072944841,-0.010004219232942793,-7299.660721635795,722358.5516452854
2017-08-29,2017-08-30,2017-09-27,595,584,-0.0017415694245372926,-0.003992937377910288,-0.00042279466171085906,-305.40933947684243,722053.1423058086
2017-09-26,2017-09-27,2017-11-01,605,591,0.006100982918630704,0.0494768209145946,-0.038159214030263386,-27552.980398471584,694500.161907337
2017-10-31,2017-11-01,2017-11-29,613,593,-0.052517621163635564,0.013333632741254098,-0.05784474899566573,-40173.18754297914,654326.9743643579
2017-11-28,2017-11-29,2017-12-27,617,598,-0.02457000008555832,-0.003956812389968811,-0.019869981427770196,-13001.464828308905,641325.509536049
2017-12-26,2017-12-27,2018-01-25,621,611,0.033274422816643945,0.08323280465134664,-0.043604601835765776,-27964.743490439025,613360.76604561
2018-01-24,2018-01-25,2018-03-01,629,593,-0.08765770173493326,-0.08834134341096944,-0.005900545516827629,-3619.1631182883866,609741.6029273216
2018-02-28,2018-03-01,2018-03-29,623,605,0.0020423601903818422,-0.035115035032429076,0.02847180273554311,17360.442638200475,627102.045565522
2018-03-28,2018-03-29,2018-05-02,629,621,-0.026427555924539714,-0.02196342542267793,-0.006319028257486609,-3962.6755462562433,623139.3700192658
2018-04-27,2018-05-02,2018-05-30,634,620,-0.013795166247542068,-0.003912539490123157,-0.010739054179421845,-6691.927455967758,616447.442563298
2018-05-29,2018-05-30,2018-06-28,643,613,-0.1392393212039803,-0.08527953387054676,-0.05145627944777492,-31720.09186940326,584727.3506938948
2018-06-27,2018-06-28,2018-07-26,644,638,0.018135939689182923,0.04319726108752997,-0.02325498844169911,-13597.827781931846,571129.5229119629
2018-07-25,2018-07-26,2018-08-23,659,659,-0.06479553793187409,-0.076705401694518,0.0078068461817183896,4458.720335211954,575588.2432471749
2018-08-22,2018-08-23,2018-09-20,666,660,-0.01092311952866376,0.0019404798607207674,-0.013214868255180173,-7606.3228037420195,567981.9204434329
2018-09-19,2018-09-20,2018-10-26,671,660,-0.09046919164271783,-0.03336470701805194,-0.05128229196304927,-29127.414673913503,538854.5057695194
2018-10-25,2018-10-26,2018-11-23,674,671,0.0962357469947781,0.0013450759609023866,0.07835593229957981,42222.44717339997,581076.9529429193
2018-11-22,2018-11-23,2018-12-21,686,682,-0.05411127167398355,-0.047765529406998186,-0.007933650208652603,-4610.061288958765,576466.8916539606
2018-12-20,2018-12-21,2019-01-22,691,687,0.028296189242878578,0.041442331924865794,-0.013273436458865442,-7651.6966570084915,568815.1949969521
2019-01-21,2019-01-22,2019-02-26,691,688,0.10349064920536177,0.17371737456591085,-0.06135812733827399,-34901.435166568146,533913.7598303839
2019-02-25,2019-02-26,2019-03-26,692,685,0.08887858205023558,0.008520072508976684,0.06608488613045459,35283.63002187386,569197.3898522578
2019-03-25,2019-03-26,2019-04-24,691,683,0.02651783853803069,0.07091407741342826,-0.03932866952582157,-22385.776040459634,546811.6138117982
2019-04-23,2019-04-24,2019-05-27,694,692,-0.1193393393338672,-0.10933823875764515,-0.01107862902484065,-6057.923015895416,540753.6907959027
2019-05-24,2019-05-27,2019-06-25,688,683,0.015647404636784046,0.0681484161888326,-0.04650458757576267,-25147.527370534954,515606.1634253678
2019-06-24,2019-06-25,2019-07-23,689,686,-0.04986686397971507,-0.014043252906241865,-0.03280849520962169,-16916.262342792586,498689.9010825752
2019-07-22,2019-07-23,2019-08-20,691,686,-0.011772623112068947,0.0006581138299053269,-0.012861854469508443,-6414.076933137665,492275.82414943754
2019-08-19,2019-08-20,2019-09-18,693,691,0.032116426017295474,0.030892518020195103,-0.0011937481718545181,-587.6533651265199,491688.170784311
2019-09-17,2019-09-18,2019-10-23,695,690,-0.01656663526508184,-0.002641564544105912,-0.014152335840480488,-6958.5361217311,484729.6346625799
2019-10-22,2019-10-23,2019-11-20,701,696,-0.025860457418453997,0.012189545505923993,-0.03456861502652579,-16756.432132599177,467973.20252998074
2019-11-19,2019-11-20,2019-12-18,705,702,0.03847302128591523,0.02527581577257587,0.009002367441823228,4212.8667221015785,472186.0692520823
2019-12-17,2019-12-18,2020-01-16,706,703,0.037637404088556536,0.03344291188498216,0.0013794163895918567,651.3412028633174,472837.41045494564
2020-01-15,2020-01-16,2020-02-21,707,706,-0.048263767775495126,-0.009569274842987197,-0.03521508522075898,-16651.009704733908,456186.40075021173
2020-02-20,2020-02-21,2020-03-20,716,714,-0.03235239570888848,-0.12221907822978706,0.07378642794053991,33660.36498640978,489846.7657366215
2020-03-19,2020-03-20,2020-04-20,719,716,0.0262523395301808,0.05949838958977938,-0.03035499835925514,-14869.297770221601,474977.4679663999
2020-04-17,2020-04-20,2020-05-21,723,718,0.0009787760662667289,0.027341332376360716,-0.024547970419967494,-11659.732833790244,463317.73513260967
2020-05-20,2020-05-21,2020-06-18,715,710,0.022659033929132155,0.014980003037513345,0.0043158797839933215,1999.6236466243863,465317.35877923405
2020-06-17,2020-06-18,2020-07-20,718,713,0.0911792099393205,0.14649681528662417,-0.04845322379425682,-22546.126120282686,442771.23265895137
2020-07-17,2020-07-20,2020-08-17,718,712,0.06525977024921681,0.028260680414165185,0.02935278402322514,12996.568363935337,455767.8010228867
2020-08-14,2020-08-17,2020-09-14,724,715,-0.0050385552088477725,-0.015880705376635218,0.006760286098490265,3081.120729394548,458848.92175228125
2020-09-11,2020-09-14,2020-10-20,725,725,-0.013974631982399233,0.02134972753947184,-0.03234224361011934,-14840.20360755286,444008.7181447284
2020-10-19,2020-10-20,2020-11-17,733,730,0.006664638843115078,0.031938156784253824,-0.02367843902522887,-10513.43335926003,433495.28478546836
2020-11-16,2020-11-17,2020-12-15,742,739,-0.027778214219682185,0.005808546394948655,-0.030835956496705424,-13367.241743171646,420128.0430422967
2020-12-14,2020-12-15,2021-01-13,755,749,-0.05942412237636463,0.13741179333279252,-0.16868044468176757,-70867.38512365537,349260.65791864134
2021-01-12,2021-01-13,2021-02-10,765,763,-0.04560433099794048,0.017902539728948286,-0.056251538404224546,-19646.44931199518,329614.20860664616
2021-02-09,2021-02-10,2021-03-17,771,768,0.09741819524072959,-0.11330057025962925,0.17642869691284552,58153.405308429385,387767.61391507555
2021-03-16,2021-03-17,2021-04-15,776,773,0.00398989621472623,-0.018341737823365567,0.016614034140849106,6442.3843763006735,394209.9982913762
2021-04-14,2021-04-15,2021-05-18,788,784,0.00824202585964251,0.0444716302709709,-0.03290806002125016,-12972.686284749536,381237.3120066267
2021-05-17,2021-05-18,2021-06-16,790,788,0.0032580158305663964,-0.0053323778205447425,0.00497968650303976,1898.442297054571,383135.75430368126
2021-06-15,2021-06-16,2021-07-14,800,799,0.005609691797728855,-0.006294485062702804,0.007798220096979524,2987.776939082367,386123.5312427636
2021-07-13,2021-07-14,2021-08-11,811,808,-0.00836334486342638,-0.01825659016712955,0.006043886100895468,2333.6866437068675,388457.2178864705
2021-08-10,2021-08-11,2021-09-08,823,821,0.0796803603590226,-0.009981973683165557,0.07388145651565138,28699.785051470157,417157.00293794065
2021-09-07,2021-09-08,2021-10-15,830,827,-0.023910423647962475,-0.018095772840298396,-0.0073062136207460125,-3047.8381768547697,414109.1647610859
2021-10-14,2021-10-15,2021-11-12,839,833,-0.015323630049536074,0.0013009132942309876,-0.01642292562047139,-6800.884011626884,407308.280749459
2021-11-11,2021-11-12,2021-12-10,847,844,0.038354376833059645,0.02923557954121314,0.0055306620450349155,2252.684448969434,409560.9651984284
2021-12-09,2021-12-10,2022-01-10,854,852,0.07219791190174507,-0.04637881048774661,0.09838677800306815,40295.38376170007,449856.3489601285
2022-01-07,2022-01-10,2022-02-14,862,857,-0.02893002788326171,-0.04837881813629019,0.013989844038456437,6293.420161661634,456149.76912179013
2022-02-11,2022-02-14,2022-03-14,870,864,-0.041217809960317986,-0.07233885513886051,0.023728271151773582,10823.645407540782,466973.4145293309
2022-03-11,2022-03-14,2022-04-13,876,869,-0.019789486224068065,-0.02206607582123976,-0.0005128037368104625,-239.46571196179138,466733.9488173691
2022-04-12,2022-04-13,2022-05-16,885,880,-0.058149431022614606,-0.03355711159948105,-0.023368071711746288,-10906.672386270773,455827.27643109835
2022-05-13,2022-05-16,2022-06-14,884,879,0.03241802508293046,0.03193524283935245,-0.0017395356975533523,-792.9278192704078,455034.34861182794
2022-06-13,2022-06-14,2022-07-12,897,894,0.0267824771364924,0.05054764168931403,-0.022365482958492708,-10177.06296940666,444857.2856424213
2022-07-11,2022-07-12,2022-08-09,900,895,0.011007949694361141,-0.04801213054116449,0.047636675889537516,21191.522333247412,466048.8079756687
2022-08-08,2022-08-09,2022-09-06,906,905,0.013323792528386225,-0.028766769554525395,0.03343600794809074,15582.811647672614,481631.6196233413
2022-09-05,2022-09-06,2022-10-12,911,907,-0.09542194352092348,-0.07494154509786377,-0.019994399290033764,-9629.934913454752,472001.68470988655
2022-10-11,2022-10-12,2022-11-09,916,913,0.07432318178550612,0.007496904270092752,0.05451425498940904,25730.820195705455,497732.504905592
2022-11-08,2022-11-09,2022-12-07,922,920,0.06059951654189799,0.05489258234287275,0.00264059300059908,1314.308968624333,499046.81387421634
2022-12-06,2022-12-07,2023-01-05,930,930,-0.035265182253074956,-0.010913217427786615,-0.023015708118024013,-11485.915805358789,487560.89806885755
2023-01-04,2023-01-05,2023-02-09,939,933,0.054433540721058105,0.039368952009587455,0.010716989527036966,5225.185038396681,492786.08310725424
2023-02-08,2023-02-09,2023-03-09,943,941,0.025051712621756872,-0.007798286933689891,0.025596816312118093,12613.754850464524,505399.83795771876
2023-03-08,2023-03-09,2023-04-07,949,946,-0.02578858030468667,0.015129440215667422,-0.03704887897136991,-18724.497428645496,486675.34052907326
2023-04-06,2023-04-07,2023-05-10,954,946,-0.000337908042244095,-0.01927310893602474,0.013660432180676512,6648.195483305084,493323.53601237835
2023-05-09,2023-05-10,2023-06-07,945,945,-0.030685358809377394,-0.0503890053111794,0.014431561510002782,7119.428954294708,500442.96496667305
2023-06-06,2023-06-07,2023-07-07,952,950,0.008320288183016,0.00422489437764062,0.0011769578487912475,589.0002754898742,501031.9652421629
2023-07-06,2023-07-07,2023-08-04,959,957,0.05509643865362035,0.052750809061488546,-0.00022441141229135458,-112.43729092308786,500919.52795123984
2023-08-03,2023-08-04,2023-09-01,963,961,-0.046654585702955775,-0.06316997709310512,0.011614840734646074,5818.100538027764,506737.6284892676
2023-08-31,2023-09-01,2023-10-09,969,969,0.0059052651217508245,-0.026457364689817964,0.025191697323304542,12765.580959230836,519503.20944849844
2023-09-28,2023-10-09,2023-11-06,975,973,-0.01109692888007352,-0.019193080596803913,0.0045364779570698475,2356.714858290099,521859.92430678854
2023-11-03,2023-11-06,2023-12-04,982,981,0.01237495020464463,-0.035274033345157885,0.038156924487232076,19912.56972468685,541772.4940314754
2023-12-01,2023-12-04,2024-01-02,986,985,-0.021914764905078044,-0.015733803690850978,-0.007581569242456305,-4107.485677157878,537665.0083543175
2023-12-29,2024-01-02,2024-01-30,989,988,-0.05534868008856131,-0.04155247543246732,-0.014076682111823648,-7568.539405254764,530096.4689490627
