,net,gross,turnover,equity
2021-06-30,-0.008169623633571625,-0.007607581564696346,0.5620420688752791,0.852532864050576
2021-07-30,-0.007847071292540489,-0.00731176294193011,0.5353083506103784,0.8458429778871375
2021-08-31,0.01157211949470345,0.013406112322478033,1.8339928277745825,0.8556311739010032
2021-09-30,0.035617029683237184,0.037487784120684715,1.8707544374475342,0.8861062148197383
2021-10-31,-0.07664143745867918,-0.07477699885408907,1.8644386045901158,0.8181937607748844
2021-11-30,0.02774870094351594,0.028850455659750175,1.1017547162342365,0.8408975747564773
2021-12-31,0.052986886962942306,0.053971956875044795,0.9850699121024884,0.8854541194975112
2022-01-31,0.01844845292291288,0.019302432023143603,0.8539791002307254,0.9017893781364604
2022-02-28,0.08128407755923601,0.08223823175764629,0.9541541984102702,0.9750904958909997
2022-03-31,0.09077341299011285,0.09262189834602338,1.8484853559105372,1.0636027881772474
2022-04-29,0.004136537098691967,0.005276113992656079,1.139576893964111,1.0680024205688148
2022-05-31,-0.02375447939955939,-0.022236961096675313,1.5175183028840786,1.0426325790707334
2022-06-30,-0.026414976758997587,-0.025543782770460238,0.8711939885373474,1.0150914637264061
2022-07-31,0.031764273206970624,0.032426063151246805,0.6617899442761818,1.0473351063102756
2022-08-31,-0.015107110739380135,-0.014490274987514717,0.6168357518654181,1.0315128988780058
2022-09-30,0.05017112048151079,0.05120958981542098,1.0384693339101925,1.0832650568058466
2022-10-31,-0.08259414967606787,-0.08198434610109437,0.6098035749735004,0.9937937005651704
2022-11-30,0.016856126399364575,0.017549179397218846,0.6930529978542694,1.010545212796789
2022-12-30,-0.04279618268086488,-0.04232302042979648,0.4731622510684048,0.9672977352626642
2023-01-31,-0.008541847838281769,-0.007726907973038779,0.8149398652429892,0.959035225193736
2023-02-28,0.003941426958159612,0.0057406019091794476,1.799174951019836,0.9628151924841393
2023-03-31,0.011258021209735028,0.012831141096817116,1.5731198870820877,0.9736545863421808
2023-04-30,0.03338379697251824,0.03540399422061741,2.0201972480991706,1.0061588733739892
2023-05-31,-0.031082175226434514,-0.03019754409259494,0.8846311338395768,0.974885266966147
2023-06-30,-0.02208864116915889,-0.020535273467755626,1.553367701403265,0.9533513761230321
2023-07-31,-0.0042997147478924524,-0.00217067758039168,2.129037167500773,0.9492522371511923
2023-08-31,-0.009096929664726451,-0.008083192957337889,1.0137367073885626,0.9406169563157437
2023-09-29,-0.01740676856707248,-0.015957799292805615,1.4489692742668634,0.9242438546468914
2023-10-31,-0.0036783833670306363,-0.0014386579408048278,2.239725426225809,0.920844131424878
2023-11-30,-0.02448682894654397,-0.023426046417667375,1.0607825288765942,0.8982955786922482
2023-12-29,0.029238834943972083,0.03055078979897703,1.3119548550049445,0.9245606948485307
2024-01-31,0.04685201913771552,0.04827701653591629,1.4249973982007715,0.9678782302175536
