signal_date,entry,exit,symbol,gross,net,hold_days
2019-09-17,2019-09-18,2019-10-23,sz.002397,-0.058708450664665235,-0.06222845066466524,20
2017-08-01,2017-08-02,2017-08-30,sz.002316,-0.05122655524777886,-0.05474655524777886,20
2012-01-31,2012-02-01,2012-02-29,sh.600900,0.015432084002812374,0.011912084002812375,20
2018-02-28,2018-03-01,2018-03-29,sz.000665,0.07724873128515042,0.07372873128515042,20
2021-09-07,2021-09-08,2021-10-15,sz.000705,-0.050441314904047796,-0.0539613149040478,20
2020-02-20,2020-02-21,2020-03-20,sh.601366,0.19337020698509377,0.18985020698509378,20
2013-08-22,2013-08-23,2013-09-24,sh.600052,0.14925373559222255,0.14573373559222255,20
2015-10-15,2015-10-16,2015-11-13,sz.000900,0.052763828427282,0.049243828427282,20
2018-03-28,2018-03-29,2018-05-02,sz.002375,-0.021180081769274994,-0.024700081769274993,20
2022-10-11,2022-10-12,2022-11-09,sh.601003,0.05325438527933213,0.049734385279332126,20
2010-02-01,2010-02-02,2010-03-09,sh.600518,0.032649199540777385,0.029129199540777386,20
