strategy_id,information_set,target,start,end,trades,gross_return,net_return,CAGR,max_dd,Sharpe,Sortino,Calmar,turnover,data_cost,live_external_dependency,status,family,dataset_id,timeframe,economic_status,replay_kind,validation_net_return,validation_trades,level1_dataset_status
HYP-INV-0002,IS-B,OIL,2018,2024,12,-0.007126706902761515,-0.007126706902761515,-0.0010748159102245136,-0.011931700556100077,-0.21741602371663651,-0.034742358865044,-0.09008069764833433,1.0521357999069245,0.0,YES,LOSS,INVENTORY_V1,OIL,D1,LOSS,STRATEGY_REPLAY,-0.005139057640216049,1,NO_EDGE
HYP-INV-0003,IS-B,GOLD,2018,2024,3,-0.007424380840479916,-0.007424380840479916,-0.0011185181163326785,-0.007424380840479899,-0.36281343139653227,-0.36842130905799225,-0.1506547334202187,1.0121327145657182,0.0,YES,LOSS,INVENTORY_V1,GOLD,D1,LOSS,STRATEGY_REPLAY,-0.003971540831770315,2,NO_EDGE
HYP-IT-0001,IS-A,GOLD,2020,2024,54,0.0661302710505558,0.0661302710505558,0.011601413699750651,-0.0341843449002108,0.564453972625643,0.3881978821751447,0.3393779735611991,17.250056532745052,0.0,NO,POSITIVE_BUT_WEAK,INSTITUTIONAL_TIME_V1.0,GOLD,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.026081339598061026,12,CANDIDATE
HYP-IT-0002,IS-A,OIL,2020,2024,54,0.21919082787661148,0.21919082787661148,0.036344096699761685,-0.027257904851903596,0.5345253707812699,1.419103781052595,1.3333415351335611,8.276302443276538,0.0,NO,POSITIVE_BUT_WEAK,INSTITUTIONAL_TIME_V1.0,OIL,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.012340334623111127,12,WEAK_EDGE
HYP-IT-0003,IS-A,GOLD,2020,2024,55,-0.02793421926677142,-0.02793421926677142,-0.005090369406858253,-0.062381388547065826,-0.15061342934455993,-0.10660108108905779,-0.08160077108603707,17.17406346143665,0.0,NO,POSITIVE_BUT_WEAK,INSTITUTIONAL_TIME_V1.0,GOLD,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.015583674487516186,12,WEAK_EDGE
HYP-IV-0001,IS-B,GOLD,2018,2024,45,0.006004461889436152,0.006004461889436152,0.0008994505983759282,-0.029385804886768164,0.06725671106874537,0.0307829106551305,0.03060833629848719,14.491816192058785,0.0,YES,POSITIVE_BUT_WEAK,IMPLIED_VOL_V1,GOLD,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.014638185920925806,7,WEAK_EDGE
HYP-IV-0002,IS-B,OIL,2018,2024,44,-0.015483588052305985,-0.015483588052305985,-0.0023435426235777213,-0.04677754395535921,-0.18441336211071963,-0.15769740972795782,-0.05009973644221708,4.9504641301391565,0.0,YES,LOSS,IMPLIED_VOL_V1,OIL,D1,LOSS,STRATEGY_REPLAY,-0.009710382048411903,10,NO_EDGE
HYP-IV-0003,IS-B,GOLD,2018,2024,62,0.004745489836472938,0.004745489836472938,0.0007112390471473162,-0.02775700267863127,0.05432576612159982,0.024704567758234014,0.025623769806199705,20.808130740055436,0.0,YES,POSITIVE_BUT_WEAK,IMPLIED_VOL_V1,GOLD,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.007117814260781952,11,CANDIDATE
HYP-MS-0001,IS-A,GOLD,2018,2024,979,-0.920650503289458,-0.920650503289458,-0.381459137872024,-0.9207431219393244,-8.812706424516861,-3.7486839356558703,-0.4142948546480281,329.39850821994446,0.0,NO,LOSS,MICROSTRUCTURE_SURPRISE_V1,GOLD,H1,LOSS,STRATEGY_REPLAY,-0.44835690297940956,231,NO_EDGE
HYP-MS-0002,IS-A,OIL,2018,2024,1008,-0.7845621164358985,-0.7845621164358985,-0.25272589953116875,-0.7846356620715438,-4.43953886382964,-1.9176705453036567,-0.322093312536851,254.63064810686913,0.0,NO,LOSS,MICROSTRUCTURE_SURPRISE_V1,OIL,H1,LOSS,STRATEGY_REPLAY,-0.337625670898715,228,NO_EDGE
HYP-MS-0003,IS-A,GOLD,2018,2024,259,-0.43441101082485023,-0.43441101082485023,-0.10241101918261364,-0.43749594169429146,-3.7965494041249306,-0.8690154950734608,-0.2340845009578975,179.73026452589423,0.0,NO,LOSS,MICROSTRUCTURE_SURPRISE_V1,GOLD,H1,LOSS,STRATEGY_REPLAY,-0.1471522688790705,68,NO_EDGE
HYP-OICOT-0001,IS-D,next-session front open-to-open after Friday knowledge_time,,,56,-0.33786711827721627,-0.33786711827721627,-0.035638927242148566,-0.4418243754661244,-0.1806825629687247,-0.021417535968587805,-0.0806631078345316,24.913298060111778,0.0,YES,LOSS,OI_COT_BUILD_V1,next-session front open-to-open after Friday knowledge_time,D1,LOSS,STRATEGY_REPLAY,-0.0016940758109509346,28,NO_EDGE
